id;time_start;time_end;act;prev_act;next_act;contract_start;contract_end;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11
76;2020-11-30;2021-12-31;func_155;func_255;none;2018-10-15;2022-03-06;cat_3;cat_06;cat_103;cat_2;cat_01;cat_1;cat_4;0.12;1;0.33;0.1634301
77;2018-09-30;2020-07-31;func_255;none;func_177;2018-09-17;2022-03-06;cat_2;cat_04;cat_204;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.1449412
77;2020-09-30;2021-12-31;func_177;func_255;none;2018-09-17;2022-03-06;cat_2;cat_04;cat_204;cat_2;cat_01;cat_1;cat_4;0.12;1;0.33;0.1634301
78;2021-07-31;2021-12-31;func_107;none;none;2021-07-16;2099-12-31;cat_4;cat_04;cat_146;cat_1;cat_01;cat_3;cat_3;0;1;0.42;0.1960784
79;2017-09-30;2021-12-31;func_155;none;none;2018-03-14;2099-12-31;cat_3;cat_01;cat_329;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.1568627
80;2021-01-31;2021-12-31;func_155;none;none;2021-01-01;2099-12-31;cat_3;cat_05;cat_407;cat_1;cat_01;cat_7;cat_3;0;1;0.33;0.1470588
81;2017-09-30;2019-08-31;func_255;none;func_177;2017-09-11;2022-03-20;cat_2;cat_11;cat_141;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1468974
81;2019-09-30;2021-12-31;func_177;func_255;none;2017-09-11;2022-03-20;cat_2;cat_11;cat_141;cat_2;cat_01;cat_4;cat_2;0.16;1;0.33;0.1767712
82;2021-08-31;2021-12-31;func_216;none;none;2021-08-01;2099-12-31;cat_2;cat_09;cat_243;cat_2;cat_01;cat_1;cat_3;0;1;0.33;0.1699346
83;2017-09-30;2019-08-31;func_255;none;func_177;2017-09-11;2099-12-31;cat_2;cat_05;cat_432;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1468974
83;2019-09-30;2021-12-31;func_177;func_255;none;2017-09-11;2099-12-31;cat_2;cat_05;cat_432;cat_2;cat_01;cat_4;cat_3;0.16;1;0.33;0.1716987
84;2021-10-31;2021-12-31;func_041;none;none;2021-10-01;2099-12-31;cat_4;cat_05;cat_449;cat_2;cat_03;cat_1;cat_3;0;1;0.58;0.1960784
85;2021-10-31;2021-12-31;func_105;none;none;2021-10-01;2099-12-31;cat_4;cat_04;cat_427;cat_1;cat_01;cat_3;cat_3;0;1;0.33;0.1633987
86;2020-01-31;2020-08-31;func_255;none;func_216;2020-01-01;2022-06-26;cat_2;cat_18;cat_286;cat_2;cat_01;cat_1;cat_3;0;1;0.33;0.1449412
86;2020-09-30;2021-07-31;func_216;func_255;func_007;2020-01-01;2022-06-26;cat_2;cat_18;cat_286;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1652085
86;2021-08-31;2021-12-31;func_007;func_216;none;2020-01-01;2022-06-26;cat_2;cat_18;cat_286;cat_2;cat_01;cat_1;cat_3;0.04;1;0.42;0.1748366
87;2019-12-31;2021-08-31;func_197;func_197;func_047;2019-12-01;2021-09-15;cat_4;cat_04;cat_092;cat_2;cat_01;cat_4;cat_3;0.08;1;0.42;0.1537647
87;2021-09-30;2021-09-30;func_047;none;func_197;2021-09-16;2099-12-31;cat_7;cat_04;cat_092;cat_2;cat_01;cat_4;cat_3;0;1;0.5;0.1699346
87;2021-09-30;2021-09-30;func_197;func_047;func_197;2019-12-01;2021-09-15;cat_4;cat_04;cat_092;cat_2;cat_01;cat_4;cat_3;0.08;1;0.42;0.1537647
87;2021-10-31;2021-12-31;func_047;func_197;none;2021-09-16;2099-12-31;cat_7;cat_04;cat_092;cat_2;cat_01;cat_4;cat_3;0;1;0.5;0.1699346
88;2017-09-30;2019-06-30;func_177;none;leave;2017-09-01;2019-06-16;cat_2;cat_09;cat_252;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.149419
88;2019-06-30;2019-06-30;leave;func_177;none;2017-09-01;2019-06-16;cat_2;cat_09;cat_252;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.149419
89;2018-11-30;2018-11-30;func_255;none;leave;2018-09-17;2019-04-17;cat_2;cat_11;cat_132;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.130719
89;2018-11-30;2018-11-30;leave;func_255;none;2018-09-17;2019-04-17;cat_2;cat_11;cat_132;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.130719
90;2017-09-30;2019-08-31;func_255;none;func_168;2017-09-11;2099-12-31;cat_2;cat_04;cat_203;cat_2;cat_03;cat_4;cat_3;0.08;1;0.33;0.1468974
